id,booking_status
42100,0.08526149543174705
42101,0.09412688088491258
42102,0.34689735214332174
42103,0.051821957192709975
42104,0.46943045692293567
42105,0.8135299684331067
42106,0.37905688169934226
42107,0.817379482814029
42108,0.0022784983649331886
42109,0.5979902783718943
42110,0.9154758946766544
42111,0.18227139327302438
42112,0.4534310850273274
42113,0.13089988610662964
42114,0.2328190840190195
42115,0.8214716706345584
42116,0.031706933940594643
42117,0.27475642748825524
42118,0.9765158178659512
42119,0.9709683728820113
42120,0.973466302354083
42121,0.09615759632394705
42122,0.001045378158047993
42123,0.8813838904059825
42124,0.9222012924137891
42125,0.013936762883772777
42126,0.039174239167860614
42127,0.003512169005242832
42128,0.3005846234241555
42129,0.5550705734517367
42130,0.8932551504636995
42131,0.3390720626946945
42132,0.7683981493752485
42133,0.9628122149390409
42134,0.36185445836924807
42135,0.0013835060307107393
42136,0.01986662860634978
42137,0.25786232474552595
42138,0.774997242553988
42139,0.9130640031650987
42140,0.14801881927799426
42141,0.5010252518937321
42142,0.3501960749480909
42143,0.8979030230998151
42144,0.13310005289189122
42145,0.858872714096276
42146,0.05427469413117769
42147,0.6362797334261203
42148,0.7789913990505282
42149,0.42868159089443514
42150,0.5744991763203392
42151,0.8775027265150527
42152,0.782443313831336
42153,0.39720602978509273
42154,0.7383678292467577
42155,0.46170897296650076
42156,0.11204971092124379
42157,0.005173701309740691
42158,0.44681032684528416
42159,0.8710194081908084
42160,0.389985719890218
42161,0.001803472753913974
42162,0.06561112789486558
42163,0.0506519616939437
42164,0.8914572695614303
42165,0.4147053688765886
42166,0.7890708704317604
42167,0.0007162537124990331
42168,0.8461667509977664
42169,0.816076045112756
42170,0.009851144240517883
42171,0.1839723567011077
42172,0.19301252400050878
42173,0.9392102803304876
42174,0.09564584166031662
42175,0.6716930873885913
42176,0.8871343822396284
42177,0.26568084468882375
42178,0.026438654852487177
42179,0.9689333451989812
42180,0.4419489112849698
42181,0.8097614983443332
42182,0.9191863484348541
42183,0.5539938616834146
42184,0.04650637700688322
42185,0.050981834354858056
42186,0.314158276630078
42187,0.5103032425579601
42188,0.005369333236351143
42189,0.05576165435263667
42190,0.20545064625021628
